iter	PRAUC	Logloss
0	0.6037908608	0.6880142175
1	0.6104081272	0.6834681838
2	0.612684942	0.6800138118
3	0.6131429988	0.6785657532
4	0.6169165007	0.675651766
5	0.6156629401	0.6735124805
6	0.6159085668	0.6722653048
7	0.6141164662	0.6709246252
8	0.6148900411	0.669508708
9	0.6163393402	0.6684604422
10	0.6160449821	0.6672111324
11	0.6168739016	0.6655832301
12	0.6196433876	0.6644733384
13	0.6182937697	0.6631103306
14	0.6215028648	0.6613561375
15	0.6215107138	0.6604858677
16	0.620847376	0.659884307
17	0.624708792	0.6586770868
18	0.6283191638	0.6579681731
19	0.6295378855	0.6572676518
20	0.6298658471	0.6568289584
21	0.6294960447	0.656664576
22	0.6294100819	0.6561598245
23	0.6294836924	0.6561251122
24	0.6301923431	0.655584575
25	0.6297920747	0.6553841851
26	0.631659826	0.6549897981
27	0.6320972124	0.6547316209
28	0.6324728286	0.6540253425
29	0.6327608435	0.6537936601
30	0.6326820104	0.6537871785
31	0.6334997634	0.6533932783
32	0.6331085139	0.6530257187
33	0.6338431224	0.6524111158
34	0.6338774351	0.6521148044
35	0.6346356765	0.6518260386
36	0.6348902321	0.6515559873
37	0.6352155611	0.6513406975
38	0.6356477339	0.6511495782
39	0.6356973656	0.6506336479
40	0.6360317112	0.6502602988
41	0.6366657835	0.6499651159
42	0.636610916	0.649733732
43	0.6366365085	0.64960655
44	0.6374803022	0.6492594624
45	0.6375410674	0.6492322814
46	0.6386986173	0.6489468465
47	0.6387059952	0.6489444251
48	0.6387463491	0.6488702102
49	0.6390567203	0.6487575221
50	0.6394348163	0.6484907491
51	0.6391379076	0.6483671713
52	0.6400304678	0.6479571379
53	0.6405631912	0.64765713
54	0.6404717379	0.6474259386
55	0.6405551989	0.6473415853
56	0.6411220489	0.6470238582
57	0.6416945297	0.6465101158
58	0.6419605491	0.6460904122
59	0.6423319725	0.6458651512
60	0.6424663443	0.6456305334
61	0.6429228827	0.6454938707
62	0.6432805654	0.6453446479
63	0.6428328685	0.6452106159
64	0.6429237403	0.6452009355
65	0.6431808219	0.6448727306
66	0.6435140562	0.6447174741
67	0.6438976581	0.6445535517
68	0.6446165128	0.6443448073
69	0.6445463519	0.6441399257
70	0.6450781656	0.6438577383
71	0.6447973387	0.643614431
72	0.6451375389	0.6434116324
73	0.6452291867	0.6433523031
74	0.6454028683	0.6432292559
75	0.6450943337	0.643124347
76	0.6449727703	0.6429431208
77	0.6460434562	0.6426072647
78	0.6459891115	0.6425614649
79	0.6461669588	0.6424545454
80	0.6463967221	0.6423658801
81	0.6466757152	0.6422777265
82	0.6468283896	0.642098135
83	0.6470768108	0.6419435425
84	0.6471887154	0.6417681161
85	0.6475139257	0.6415985238
86	0.6480918742	0.6415216078
87	0.6482562612	0.6414064301
88	0.6483863085	0.6412971819
89	0.6486733648	0.6412128208
90	0.6489379524	0.6410776258
91	0.6495175502	0.6408590542
92	0.6494591796	0.6406977528
93	0.649743296	0.6405657804
94	0.6500846685	0.6403383803
95	0.6502304153	0.6402404186
96	0.6508910662	0.6401652141
97	0.6514607946	0.6401136791
98	0.6517032096	0.6400008051
99	0.6516314431	0.6399357678
100	0.6517309569	0.6398975245
101	0.6518296202	0.6397257303
102	0.652036867	0.6396260807
103	0.6526276753	0.6394243204
104	0.6529969533	0.6392684696
105	0.65328354	0.6391551313
106	0.6536700455	0.6389193532
107	0.6539734283	0.6387663732
108	0.6542283332	0.6386054009
109	0.6543908376	0.6385670704
110	0.6544257313	0.6385294252
111	0.6544542003	0.6384120516
112	0.6539553977	0.6383041087
113	0.6543059301	0.6381132254
114	0.6542013889	0.6380350454
115	0.6543348518	0.6378829335
116	0.6548394033	0.6377874634
117	0.6548919544	0.6377455082
118	0.6551221077	0.63764079
119	0.65542443	0.6375118056
120	0.655225375	0.6374744825
121	0.6552845082	0.6373219794
122	0.6551470959	0.6372186405
123	0.6552452208	0.637175497
124	0.6552484809	0.6371242975
125	0.6555588855	0.6370840481
126	0.6558664799	0.6370272795
127	0.6559360525	0.6370078864
128	0.6560288552	0.6369885195
129	0.6556766462	0.6368982444
130	0.6556847079	0.6368006422
131	0.6561230035	0.636754025
132	0.656018781	0.636645565
133	0.6561761998	0.6365247516
134	0.6562896584	0.6363739693
135	0.6566239089	0.636285888
136	0.656398743	0.6362578004
137	0.6564373563	0.6362138003
138	0.6567793745	0.6361733143
139	0.6565228615	0.636141896
140	0.6567571097	0.6360746623
141	0.6567824156	0.6359901306
142	0.6568090552	0.6359772678
143	0.6567370663	0.635954098
144	0.6567330653	0.6359100741
145	0.6568375904	0.6358180276
146	0.6567226124	0.6357314895
147	0.6566491385	0.6357205715
148	0.6568086782	0.635688655
149	0.6571544383	0.6356678713
150	0.6576188052	0.6356426278
151	0.6576873965	0.6356040419
152	0.6576478144	0.6355813171
153	0.6576867584	0.6355662082
154	0.657814578	0.6353890722
155	0.6578760869	0.6353132781
156	0.6581827305	0.6352193243
157	0.6586632238	0.6351312704
158	0.6587019793	0.6350599722
159	0.658783905	0.6349688766
160	0.6588580084	0.6349147065
161	0.6587806903	0.6348765738
162	0.6588810671	0.6348066716
163	0.6588852205	0.6347551025
164	0.6587641807	0.6346506078
165	0.6588231776	0.6346295065
166	0.6590362221	0.634575104
167	0.659218146	0.6345028935
168	0.6592199847	0.6344946366
169	0.6592199847	0.634494631
170	0.6593007781	0.6344834033
171	0.6595142391	0.6343855861
172	0.6596747967	0.6343427171
173	0.6596260213	0.6342855211
174	0.6596710286	0.6342763833
175	0.6597302734	0.6342174819
176	0.6597669953	0.6341628115
177	0.6598303502	0.6340161895
178	0.6599860151	0.6339566618
179	0.6604802416	0.6339125986
180	0.6604640031	0.6338695297
181	0.6604271458	0.6338632618
182	0.6604445569	0.6338331604
183	0.6604366396	0.6337976112
184	0.6605668822	0.6336826114
185	0.6605144669	0.6336635982
