AGE_GRP,FAMILY_MEMB,TRAVEL_COMPANIONS_NUM,TRAVEL_TERM,TRAVEL_NUM,companions_per_family,lodging_payment_sum,lodging_payment_count,lodging_store_count,TRAVEL_STATUS_ACCOMPANY_CODE,visit_move_cnt,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,activity_per_day,spending_per_day,activity_to_lodging_ratio,MVMN_NM_CODE,IS_FAILED_TRIP
40.0,3.0,1.0,1.0,2.0,0.3333333333333333,119000,0,0,8,5.0,183249,6,6,5,3,3.0,151124.5,1.5398946227342627,2,1.0
40.0,4.0,3.0,2.0,1.0,0.75,119000,0,0,8,5.0,68600,3,3,10,4,1.5,93800.0,0.5764657439853447,2,0.0
60.0,3.0,0.0,3.0,6.0,0.0,119000,0,0,6,19.0,57100,7,6,22,6,1.75,44025.0,0.4798279006058772,1,0.0
40.0,1.0,0.0,2.0,4.0,0.0,119000,0,0,6,9.0,89700,5,4,10,4,2.5,104350.0,0.7537751783598458,2,1.0
30.0,2.0,1.0,2.0,2.0,0.5,119000,0,0,2,5.0,155520,4,4,8,5,4.0,274520.0,1.3068797741195453,1,1.0
20.0,2.0,1.0,3.0,4.0,0.5,289000,1,1,2,4.0,61000,4,4,7,4,4.0,350000.0,0.2110719340071487,2,1.0
30.0,5.0,1.0,2.0,2.0,0.2,119000,0,0,8,10.0,62900,3,2,9,4,1.0,60633.333333333336,0.5285669868320434,2,0.0
30.0,1.0,1.0,3.0,4.0,1.0,55800,1,1,2,15.0,149500,5,5,12,7,1.6666666666666667,68433.33333333333,2.679163455852046,1,0.0
30.0,3.0,0.0,3.0,3.0,0.0,20000,1,1,6,8.0,23500,2,2,7,5,0.6666666666666666,14500.0,1.174941252937353,1,1.0
20.0,2.0,1.0,3.0,5.0,0.5,110000,1,1,2,6.0,94300,4,4,10,4,1.3333333333333333,68100.0,0.8572649339551459,1,0.0
