TRAVEL_ID,TRAVELER_ID,TRAVEL_LENGTH
a_a014262,a014262,2
a_a006728,a006728,2
a_a015745,a015745,4
a_a010544,a010544,2
a_a012058,a012058,2
a_a001826,a001826,3
a_a002687,a002687,3
a_a001405,a001405,3
a_a008173,a008173,3
a_a005503,a005503,3
a_a014026,a014026,2
a_a006743,a006743,2
a_a001240,a001240,4
a_a018188,a018188,2
a_a001129,a001129,3
a_a007389,a007389,2
a_a000024,a000024,3
a_a017969,a017969,2
a_a012188,a012188,2
a_a006668,a006668,2
a_a006714,a006714,2
a_a002989,a002989,3
a_a018209,a018209,2
a_a006101,a006101,3
a_a008209,a008209,2
a_a005593,a005593,2
a_a001157,a001157,4
a_a000637,a000637,3
a_a005806,a005806,2
a_a000277,a000277,3
a_a000428,a000428,4
a_a018074,a018074,2
a_a004431,a004431,2
a_a003282,a003282,2
a_a000307,a000307,3
a_a000980,a000980,2
a_a010475,a010475,3
a_a008206,a008206,2
a_a008349,a008349,3
a_a005195,a005195,2
a_a005824,a005824,3
a_a013871,a013871,4
a_a000286,a000286,4
a_a005562,a005562,2
a_a006278,a006278,2
a_a018134,a018134,2
a_a000618,a000618,3
a_a004497,a004497,2
a_a005182,a005182,2
a_a008024,a008024,2
a_a003352,a003352,2
a_a003024,a003024,3
a_a006065,a006065,2
a_a011533,a011533,2
a_a002251,a002251,2
a_a006371,a006371,2
a_a001954,a001954,4
a_a004399,a004399,4
a_a003305,a003305,3
a_a004307,a004307,2
a_a017685,a017685,2
a_a006833,a006833,2
a_a006260,a006260,3
a_a004223,a004223,3
a_a003779,a003779,5
a_a001955,a001955,3
a_a002761,a002761,4
a_a005650,a005650,2
a_a003697,a003697,2
a_a001244,a001244,4
a_a002245,a002245,4
a_a007884,a007884,2
a_a000877,a000877,4
a_a002159,a002159,3
a_a001226,a001226,3
a_a001595,a001595,3
a_a002056,a002056,3
a_a005324,a005324,2
a_a006674,a006674,2
a_a002737,a002737,2
a_a002979,a002979,3
a_a003599,a003599,4
a_a006656,a006656,2
a_a018000,a018000,2
a_a006976,a006976,2
a_a004818,a004818,2
a_a010193,a010193,2
a_a000822,a000822,3
a_a011614,a011614,3
a_a002410,a002410,3
a_a009817,a009817,2
a_a006410,a006410,2
a_a013672,a013672,3
a_a010301,a010301,2
a_a007878,a007878,2
a_a000714,a000714,4
a_a013867,a013867,2
a_a001264,a001264,5
a_a004178,a004178,3
a_a003426,a003426,4
a_a006562,a006562,2
a_a003901,a003901,2
a_a000780,a000780,3
a_a007436,a007436,2
a_a000342,a000342,4
a_a005139,a005139,2
a_a005193,a005193,2
a_a006750,a006750,2
a_a014948,a014948,3
a_a000056,a000056,4
c_c005920,c005920,2
a_a015245,a015245,2
a_a007424,a007424,2
a_a001623,a001623,4
a_a002426,a002426,4
a_a000924,a000924,5
a_a006636,a006636,2
a_a003715,a003715,4
a_a004767,a004767,2
a_a003666,a003666,3
a_a003517,a003517,3
b_b006889,b006889,2
a_a010333,a010333,3
a_a007533,a007533,2
a_a007370,a007370,2
a_a018006,a018006,2
d_d007564,d007564,2
a_a000018,a000018,3
a_a006045,a006045,2
a_a006026,a006026,2
a_a007941,a007941,2
a_a006184,a006184,3
a_a004282,a004282,2
a_a007058,a007058,2
a_a001730,a001730,2
a_a002704,a002704,2
a_a007351,a007351,2
a_a007894,a007894,2
a_a006799,a006799,2
a_a007322,a007322,2
a_a007399,a007399,2
a_a015109,a015109,2
a_a005458,a005458,2
a_a018008,a018008,2
a_a004519,a004519,3
a_a002782,a002782,4
a_a009615,a009615,3
a_a010365,a010365,3
a_a007194,a007194,2
a_a005302,a005302,3
a_a007264,a007264,2
a_a012085,a012085,2
a_a002004,a002004,3
a_a007138,a007138,2
a_a002652,a002652,2
a_a006263,a006263,2
a_a005705,a005705,2
a_a001927,a001927,3
a_a017915,a017915,2
a_a000503,a000503,6
a_a003653,a003653,3
a_a001532,a001532,4
a_a001107,a001107,3
a_a002155,a002155,2
a_a007348,a007348,2
a_a004683,a004683,2
a_a018147,a018147,2
a_a005095,a005095,2
a_a017957,a017957,2
a_a002219,a002219,3
a_a000407,a000407,4
a_a001677,a001677,3
a_a005702,a005702,3
a_a003372,a003372,2
a_a007100,a007100,2
a_a002722,a002722,4
a_a017480,a017480,2
a_a003643,a003643,2
a_a003229,a003229,4
a_a000942,a000942,2
a_a007607,a007607,2
a_a006002,a006002,2
a_a004093,a004093,4
a_a005397,a005397,2
a_a018046,a018046,2
a_a007866,a007866,2
a_a006719,a006719,2
a_a007017,a007017,2
a_a000030,a000030,4
a_a001998,a001998,3
a_a007658,a007658,2
a_a001866,a001866,3
a_a004417,a004417,3
a_a006134,a006134,2
a_a007924,a007924,2
a_a001039,a001039,3
a_a005845,a005845,4
a_a005246,a005246,2
a_a002276,a002276,2
a_a001278,a001278,4
a_a000600,a000600,2
a_a009947,a009947,2
b_b006351,b006351,2
a_a003244,a003244,2
a_a000100,a000100,4
a_a000386,a000386,3
a_a009643,a009643,3
a_a000647,a000647,3
c_c014246,c014246,2
a_a005038,a005038,2
a_a003164,a003164,4
a_a001080,a001080,5
a_a000635,a000635,4
a_a008109,a008109,2
a_a012091,a012091,2
a_a005603,a005603,2
a_a000196,a000196,4
c_c000072,c000072,3
a_a005899,a005899,2
a_a000469,a000469,3
a_a004092,a004092,4
a_a017256,a017256,3
a_a003274,a003274,4
a_a002616,a002616,2
