TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM
b015583,41,2,20,6,1.0,5,3.0,3,7.0,2,2,1,1,1,4,7,1,1,7,경기도,충남,2인 여행(가족 외),1,1
a001105,30,1,30,6,1.0,2,3.0,4,6.0,3,1,6,2,2,2,4,6,6,5,대전광역시,경기,3인 이상 여행(가족 외),3,7
a001673,41,2,30,4,2.0,3,정보없음,5,8.0,2,3,4,1,2,1,2,5,2,7,경기도,서울,자녀 동반 여행,10,2
a017690,41,2,30,6,1.0,3,3.0,5,7.0,3,6,2,2,3,4,3,2,4,5,경기도,서울,3인 이상 여행(가족 외),3,3
c006666,28,2,30,6,1.0,3,13.0,3,7.0,2,1,3,6,2,4,6,5,5,5,인천광역시,경기,나홀로 여행,1,0
a007192,11,1,20,7,1.0,4,2.0,7,12.0,2,1,4,2,2,1,4,4,5,4,서울특별시,경기,나홀로 여행,6,0
a006685,41,2,30,5,2.0,2,3.0,4,7.0,3,6,1,1,7,5,1,1,5,2,경기도,인천,2인 가족 여행,10,1
a014274,11,2,20,6,1.0,4,2.0,5,11.0,3,5,2,1,1,5,3,3,2,6,서울특별시,경기,나홀로 여행,4,0
a002302,11,2,60,6,2.0,2,2.0,4,7.0,2,5,3,4,5,2,2,5,6,6,서울특별시,인천,나홀로 여행,8,0
a004118,50,2,30,6,1.0,2,3.0,5,8.0,3,6,4,3,1,4,6,4,7,4,제주특별자치도,인천,나홀로 여행,1,0
a001158,41,1,30,6,1.0,1,3.0,4,7.0,2,2,1,3,2,3,2,2,3,2,경기도,경기,나홀로 여행,8,0
a014377,28,2,40,6,1.0,1,3.0,4,7.0,3,2,1,1,3,2,4,3,6,4,인천광역시,서울,나홀로 여행,2,0
a003073,41,2,30,6,2.0,3,3.0,6,12.0,2,1,3,3,6,4,6,6,6,2,경기도,경기,자녀 동반 여행,1,2
a005594,28,1,30,6,2.0,4,3.0,7,7.0,2,2,2,7,2,6,6,6,6,2,인천광역시,경기,자녀 동반 여행,3,3
a007179,41,2,40,5,2.0,1,13.0,3,7.0,3,5,1,4,3,5,1,3,2,3,경기도,인천,3인 이상 여행(가족 외),3,4
a006286,41,1,40,6,2.0,3,2.0,9,9.0,2,1,2,1,2,1,1,4,1,7,경기도,인천,자녀 동반 여행,8,2
a002832,41,1,50,5,4.0,2,4.0,5,5.0,3,5,1,4,4,1,6,2,1,7,경기도,경기,2인 여행(가족 외),3,1
