TRAVEL_ID,DGSTFN_AVG,REVISIT_AVG,RCMDTN_AVG,VISIT_AREA_TYPE_CD,TRIP_DAYS,MOVE_CNT
a_a000011,4.0,3.5,3.5,21,3,4
a_a000012,3.85,3.75,3.75,2,3,21
a_a000013,4.25,4.0,4.0,21,4,6
a_a000014,3.5,3.5,3.5,21,3,4
a_a000016,4.4,4.1,4.1,11,3,13
a_a000018,3.6666666666666665,3.5,3.8333333333333335,21,3,8
a_a000019,4.4,4.2,4.1,8,3,12
a_a000021,4.0,3.2857142857142856,3.7142857142857144,11,2,8
a_a000024,4.0,4.0,3.5,21,3,4
a_a000028,3.6666666666666665,3.6666666666666665,3.6666666666666665,4,3,4
a_a000029,4.142857142857143,3.5714285714285716,4.0,11,3,9
a_a000030,5.0,5.0,5.0,2,4,9
a_a000034,3.8,2.7333333333333334,3.1333333333333333,2,3,16
a_a000035,4.333333333333333,3.3333333333333335,3.6666666666666665,1,1,5
a_a000038,4.5,4.5,4.5,11,3,5
a_a000041,5.0,5.0,5.0,9,3,16
a_a000050,2.6666666666666665,2.5,2.3333333333333335,4,1,7
a_a000051,3.75,3.375,3.5,11,4,10
a_a000056,4.3,4.1,4.1,24,4,12
a_a000058,3.857142857142857,3.7857142857142856,3.7142857142857144,11,4,16
a_a000061,3.857142857142857,3.5,3.642857142857143,4,4,18
a_a000065,2.5,3.25,3.5,21,3,6
a_a000070,3.8181818181818183,3.6818181818181817,3.772727272727273,4,4,23
a_a000074,4.111111111111111,4.277777777777778,4.277777777777778,2,4,20
a_a000080,4.066666666666666,3.533333333333333,3.6333333333333333,11,9,33
a_a000081,5.0,4.857142857142857,4.9523809523809526,2,5,22
a_a000082,4.833333333333333,4.722222222222222,4.777777777777778,11,4,20
a_a000084,4.090909090909091,4.090909090909091,4.2727272727272725,4,4,13
a_a000085,4.416666666666667,4.25,4.25,11,4,14
a_a000086,4.2,4.2,4.0,21,4,7
a_a000087,5.0,5.0,5.0,21,3,5
a_a000094,4.05,3.35,3.85,2,3,20
a_a000097,4.0,3.9,4.0,24,4,11
a_a000100,4.066666666666666,4.0,3.8666666666666667,9,4,17
a_a000104,3.6666666666666665,3.4166666666666665,3.5,11,4,14
a_a000108,4.166666666666667,4.083333333333333,4.166666666666667,11,3,13
a_a000110,3.6153846153846154,3.3461538461538463,3.5,11,5,28
a_a000111,4.764705882352941,4.9411764705882355,4.9411764705882355,11,4,18
a_a000112,3.8333333333333335,2.8333333333333335,3.8333333333333335,7,3,8
a_a000116,3.8518518518518516,3.7777777777777777,3.7777777777777777,9,3,28
a_a000117,3.5555555555555554,3.0,3.2222222222222223,11,3,11
a_a000118,3.3846153846153846,3.4615384615384617,3.0,11,4,18
a_a000122,4.25,4.125,4.25,2,4,10
a_a000123,3.875,3.75,3.75,11,5,25
a_a000124,4.555555555555555,4.416666666666667,4.527777777777778,11,5,39
a_a000130,3.5,3.5,3.5,4,2,6
a_a000131,4.857142857142857,4.714285714285714,4.714285714285714,4,2,7
a_a000134,4.214285714285714,4.0,3.9285714285714284,9,4,16
a_a000135,3.8,3.4,3.4,11,2,5
a_a000136,3.6363636363636362,3.6363636363636362,3.8181818181818183,2,3,13
a_a000139,2.5,3.0,2.0,5,2,4
a_a000140,3.1818181818181817,3.090909090909091,3.090909090909091,1,1,12
a_a000142,4.0,3.8,3.6,22,3,7
a_a000145,3.5,3.0,3.5,21,2,4
a_a000147,4.0,3.9,3.5,11,3,11
a_a000149,4.416666666666667,4.083333333333333,4.333333333333333,11,2,12
a_a000150,4.6,4.8,4.6,11,3,7
a_a000151,4.0,3.5714285714285716,3.857142857142857,2,3,9
a_a000152,3.625,3.25,3.5,4,2,9
a_a000163,4.5,4.0,4.0,21,2,4
a_a000164,3.6666666666666665,3.4444444444444446,3.4444444444444446,11,3,11
a_a000165,4.5,4.0,4.5,11,3,8
a_a000166,4.0,4.0,4.0,7,3,7
a_a000172,3.5,3.0,3.3333333333333335,9,5,20
a_a000174,5.0,4.333333333333333,5.0,1,1,4
a_a000177,4.8,4.6,5.0,3,2,6
a_a000179,4.0,3.8333333333333335,3.75,3,3,14
a_a000180,4.333333333333333,2.6666666666666665,3.3333333333333335,1,2,4
a_a000181,4.545454545454546,4.2727272727272725,4.454545454545454,3,2,11
a_a000182,4.9411764705882355,4.823529411764706,4.9411764705882355,11,4,18
a_a000184,4.777777777777778,4.555555555555555,4.555555555555555,24,2,10
a_a000186,4.571428571428571,3.857142857142857,3.857142857142857,11,3,8
a_a000187,3.411764705882353,3.3529411764705883,3.411764705882353,9,5,21
a_a000189,4.5,2.75,4.25,11,3,6
a_a000195,4.5,4.375,4.4375,4,3,19
a_a000196,4.647058823529412,4.529411764705882,4.588235294117647,11,4,18
a_a000198,3.727272727272727,3.727272727272727,3.727272727272727,4,4,13
a_a000201,4.866666666666666,4.733333333333333,4.866666666666666,11,4,17
a_a000203,5.0,5.0,5.0,22,6,12
a_a000207,4.0,3.6666666666666665,3.6666666666666665,21,2,5
a_a000212,4.0,4.0,4.0,11,4,12
a_a000213,4.5,4.333333333333333,4.5,22,3,9
a_a000215,4.857142857142857,4.571428571428571,4.571428571428571,2,2,9
a_a000218,4.666666666666667,4.555555555555555,4.555555555555555,11,3,11
a_a000219,4.625,4.125,4.25,11,4,10
a_a000221,3.6666666666666665,3.0,3.0,4,2,5
a_a000222,4.6,4.4,4.6,2,3,7
a_a000223,3.5,3.0,3.75,11,2,5
a_a000231,3.4,4.4,3.8,11,3,6
a_a000237,4.0,4.5,4.333333333333333,7,3,9
a_a000246,4.0,3.2,3.5,2,2,12
a_a000251,4.25,3.375,3.25,11,4,10
a_a000260,4.833333333333333,4.5,4.5,11,4,14
a_a000265,4.2,4.0,4.2,11,4,12
a_a000266,4.0,4.0,4.0,11,3,7
a_a000268,3.8461538461538463,3.1538461538461537,3.1538461538461537,11,3,14
a_a000269,4.8125,4.75,4.75,24,4,18
a_a000272,4.1,3.3,3.5,11,4,12
a_a000276,4.333333333333333,4.222222222222222,4.222222222222222,6,4,12
a_a000277,5.0,5.0,5.0,9,3,13
a_a000279,4.333333333333333,4.0,4.333333333333333,22,4,6
a_a000286,4.75,4.75,4.75,2,4,8
a_a000287,4.7,4.4,4.4,6,3,14
a_a000290,4.5,4.5,4.5,9,2,4
a_a000293,4.5,4.4,4.5,24,4,12
a_a000296,4.5,4.5,4.5,10,3,6
a_a000299,4.625,4.5,4.625,24,4,10
a_a000302,5.0,5.0,5.0,11,4,7
a_a000303,4.111111111111111,4.0,4.111111111111111,4,3,10
a_a000306,4.0,3.8,4.0,6,4,7
a_a000307,3.8,3.8,3.6,4,2,6
a_a000309,5.0,5.0,5.0,1,1,2
a_a000314,4.285714285714286,4.214285714285714,4.214285714285714,1,7,20
a_a000315,5.0,5.0,5.0,4,2,5
a_a000318,4.0,4.0,4.0,9,3,8
a_a000322,3.857142857142857,3.5714285714285716,4.142857142857143,9,3,9
a_a000323,4.0,4.0,4.0,9,4,18
a_a000327,3.3846153846153846,3.230769230769231,3.230769230769231,9,3,15
a_a000334,4.333333333333333,4.5,4.333333333333333,11,3,8
a_a000335,4.833333333333333,4.833333333333333,4.833333333333333,11,3,8
a_a000336,3.875,3.375,3.875,4,4,11
a_a000338,3.7,3.4,3.4,11,3,12
a_a000339,4.5,4.333333333333333,4.416666666666667,24,3,13
a_a000341,4.875,4.5625,4.8125,11,4,18
a_a000342,4.2,3.6,3.4,11,4,6
a_a000344,4.285714285714286,4.714285714285714,4.714285714285714,10,3,9
a_a000351,3.4,3.4,3.4,2,2,7
a_a000357,4.428571428571429,4.285714285714286,4.285714285714286,3,4,8
a_a000358,4.444444444444445,4.444444444444445,4.444444444444445,4,3,11
a_a000360,5.0,4.5,4.666666666666667,11,3,7
a_a000361,4.5,4.5,4.5,11,2,5
a_a000362,4.6,4.0,4.4,11,3,7
a_a000369,3.75,3.75,3.75,11,2,5
a_a000373,4.222222222222222,3.888888888888889,3.7777777777777777,11,4,11
a_a000376,3.9444444444444446,3.8333333333333335,3.8333333333333335,9,5,20
a_a000383,4.0,3.8333333333333335,3.6666666666666665,11,3,8
a_a000385,5.0,5.0,5.0,2,1,9
a_a000386,4.142857142857143,4.0,4.0,1,3,9
a_a000389,4.166666666666667,3.5,3.8333333333333335,4,4,8
a_a000393,4.222222222222222,4.333333333333333,4.333333333333333,11,3,11
a_a000396,3.888888888888889,3.6666666666666665,3.6666666666666665,4,4,22
a_a000399,4.666666666666667,4.666666666666667,4.333333333333333,11,3,10
a_a000405,3.3333333333333335,3.0,3.0,11,3,5
a_a000407,4.7,4.7,4.7,4,4,12
a_a000412,4.857142857142857,4.714285714285714,4.714285714285714,4,3,9
a_a000413,4.411764705882353,4.294117647058823,4.647058823529412,11,3,18
a_a000414,5.0,4.875,5.0,9,3,10
a_a000415,4.8,4.6,4.6,21,4,7
a_a000416,4.5,4.166666666666667,4.333333333333333,11,4,7
a_a000417,4.384615384615385,4.384615384615385,4.461538461538462,11,4,16
a_a000418,4.3076923076923075,4.076923076923077,4.230769230769231,9,4,14
a_a000420,4.1,3.8,3.8,11,3,11
a_a000421,4.0,3.75,3.75,24,4,6
a_a000424,4.0,4.0,4.0,1,2,3
a_a000425,4.4,4.8,4.4,11,2,7
a_a000427,3.6666666666666665,3.6666666666666665,3.8333333333333335,1,3,8
a_a000428,4.388888888888889,4.166666666666667,4.222222222222222,11,4,19
a_a000430,3.5,4.0,3.5,7,2,4
