TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,PAYMENT_NUM,STORE_NM,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e002053,2306030007,2,0,1,CU,1,6.5,새우깡블랙;뉴리뉴멀티
e_e001001,2306090003,1,0,2,가평(춘천)휴게소,1,5.5,통감자 
e_e009156,2308260006,1,0,2,개항백화,1,22.0,ICED 아메리카노;개항로 맥주
e_e002077,2306010003,1,0,4,경주십원빵,1,11.0,
e_e001949,2306010005,1,0,2,단일서울,1,11.0,
e_e008565,2308260004,3,0,2,대부도전동바이크(공원),1,38.0,전동바이크 1시간 
e_e002255,2306050002,1,0,3,대운각,1,32.0,
e_e000332,2305190003,1,0,2,대현네,3,28.0,
e_e012429,2309090002,1,0,2,도깨비방망이,1,52.0,장흥도깨비방망이 
e_e001271,2306040002,1,0,4,로이카페,1,5.5,주먹도끼빵
e_e007421,2308190005,3,0,2,메가박스,1,21.0,관람권
e_e007548,2308160003,1,0,2,몽실면당,1,32.0,소고기국수
e_e000999,2305290001,1,2,4,민영활어공장,1,22.0,
e_e007552,2308250002,1,0,1,벚골도토리전문점,1,51.0,물막국수;수육;옥수수 동동주;빈대떡
e_e002401,2306040002,1,7,2,빈대떡,1,6.0,
e_e007860,2308200009,1,0,2,빈대떡과찜,1,13.0,
e_e004100,2307070002,6,1,2,삼성물산(주) 에버랜드리조트,1,60.0,코인 충전
e_e010722,2308250008,2,1,4,세븐일레븐 이촌점,1,5.5,
e_e003963,2306240003,2,1,2,수원애경역사(주),1,22.0,로미스토리 의류
e_e000490,2306030001,1,0,1,스타벅스,1,5.5,I-T)DCF아메리카노
e_e004342,2307030007,1,1,1,스페이스작아트벙커,1,12.5,한라봉에이드
e_e007803,2308200005,1,0,1,시골막국수,1,11.0,
e_e005247,2307280009,1,0,2,아이스걸크림보이여의도점,1,7.0,
e_e008489,2308250002,3,2,1,아이에스에이치(미술관),1,22.0,입장권
e_e002471,2306140006,3,0,3,아침고요치유의숲,1,4.0,입장권
e_e002176,2306040002,3,0,1,양주시립장욱진미술관(문화비),1,8.0,입장권
e_e002204,2306040001,1,0,4,어무이맛 양평해장국,1,44.0,우거지해장국;우거지(맵게)
e_e000734,2305220003,2,0,1,에덴플라워,1,45.0,금전수 화분
e_e001125,2305270002,6,0,2,연우살롱,3,45.0,
e_e007200,2308110002,1,1,2,열두알 우동집,1,28.0,연어냉모밀;바질비빔면
e_e007770,2308280007,1,0,1,온더모먼트,1,7.7,애플망고에이드 
e_e000347,2305270004,1,1,1,왕가네탕후루,3,5.5,
e_e002915,2306180005,1,0,2,위드독7,5,60.0,
e_e000919,2305240003,1,0,4,자유로쌈밥,1,56.0,제육쌈밥
e_e002471,2306140005,2,6,3,정원가게,1,54.0,아로마 민트 스프레이 
e_e001118,2306030002,1,0,3,조선쌈밥,1,44.0,불고기쌈밥;공기밥
e_e001341,2305270008,1,0,2,조아회,1,22.0,도다리1
