TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,PAYMENT_NUM,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,LODGING_TYPE_NM,RSVT_YN_ENC,LODGING_TYPE_CD_ENC,PAYMENT_MTHD_SE_ENC
e_e000013,해브펀캠핑어라운드,0,5,Y,4,정보없음,경기 파주시 월롱면 도감로 130,경기 파주시 월롱면 위전리 89-1,2023-04-28 00:00:00,1,240000,유스호스텔,1,4,0
e_e000020,파로티아워터하우스,1,1,Y,1,아고다,서울 중구 을지로 100,서울 중구 을지로2가 203,2023-04-29 00:00:00,1,84375,호텔,1,0,0
e_e000021,호텔헤르메스,1,1,N,2,화성 헤르메스 호텔,경기 화성시 남양읍 역골로 9-28,경기 화성시 남양읍 남양리 2076-17,2023-04-29 15:00:00,1,70000,호텔,0,0,0
e_e000038,호텔 더 메이,1,1,Y,2,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-04-27 00:20:00,1,66000,호텔,1,0,0
e_e000294,봉화회관,0,2,Y,2,정보없음,경기 용인시 처인구 포곡읍 부곡로 21,경기 용인시 처인구 포곡읍 전대리 164-3,2023-05-19 00:00:00,1,25000,펜션,1,1,0
e_e000294,봉화회관,1,2,Y,2,두부마당,경기 용인시 처인구 포곡읍 포곡로 339,경기 용인시 처인구 포곡읍 삼계리 401-3,2023-05-21 11:47:00,1,32000,펜션,1,1,0
e_e000294,한화리조트 용인베잔송,1,4,Y,2,한화호텔앤드리조트(주)용인,경기 용인시 처인구 남사읍 봉무로153번길 79,경기 용인시 처인구 남사읍 봉무리 257-1,2023-05-19 17:13:00,1,54200,모텔/여관,1,3,0
e_e000294,한화리조트 용인베잔송,2,4,Y,2,한화호텔앤드리조트(주),서울 중구 통일로 92,서울 중구 순화동 1-170,2023-05-20 08:25:00,1,22000,모텔/여관,1,3,0
e_e000301,콘래드 서울,1,1,Y,2,에스아이에프씨호텔디벨로프먼트 유한회사,서울 영등포구 국제금융로8길 10,서울 영등포구 여의도동 34-9,2023-05-19 15:56:00,1,324500,호텔,1,0,0
e_e000317,토요코인호텔 영등포점,0,1,Y,1,정보없음,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,2023-05-27 00:00:00,3,59000,호텔,1,0,2
e_e000323,제이모텔,1,2,Y,2,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-23 13:22:00,3,65000,펜션,1,1,2
e_e000332,누누모텔,1,2,Y,2,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-19 18:25:00,1,65000,펜션,1,1,0
e_e000334,호텔스테이지79,1,1,Y,2,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-25 00:00:00,1,48000,호텔,1,0,0
e_e000336,켄싱턴호텔 여의도,1,1,Y,3,아고다,정보없음,정보없음,2023-05-27 00:00:00,1,242100,호텔,1,0,0
e_e000336,호텔엠펠리체,1,1,Y,3,아고다,정보없음,정보없음,2023-05-27 00:00:00,1,138141,호텔,1,0,0
e_e000344,롯데호텔월드,1,1,Y,3,(주)롯데호텔 롯데월드,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,2023-05-19 14:11:00,1,444675,호텔,1,0,0
e_e000345,W미니호텔,1,2,Y,3,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-03 23:33:00,1,60000,펜션,1,1,0
e_e000347,펠리스빌,0,11,N,1,정보없음,644-19,정보없음,2023-05-26 00:00:00,4,50000,리조트,0,10,3
