TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,TRAVEL_LENGTH,SEASON_Fall,SEASON_Summer,SEASON_nan,WEEKEND_RATIO,SEASON_Spring,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,IS_FAILED_TRIP,visit_trip_days,visit_move_cnt,AVG_ACTIVITIES_PER_DAY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM
e_e000004,3,2023-04-30,2023-05-01,정보없음,3;4;11,2,False,False,False,0.5,True,84000,0,0,3,2,119000,0,0,1.0,2.0,5.0,1.5,41.0,남,40.0,6.0,2.0,3.0,2.0,7.0,8.0,2.0,1.0,자녀 동반 여행,2.0
e_e000006,21,2023-04-30,2023-05-02,정보없음,21;10;27,3,False,False,False,0.3333333333333333,True,58500,4,3,11,6,119000,0,0,0.0,3.0,11.0,3.6666666666666665,11.0,남,30.0,7.0,1.0,1.0,3.0,5.0,7.0,3.0,4.0,2인 가족 여행,1.0
e_e000009,2;4,2023-04-29,2023-05-01,정보없음,22;1;7,3,False,False,False,0.6666666666666666,True,319340,9,9,15,5,119000,0,0,0.0,3.0,12.0,5.0,28.0,여,30.0,5.0,1.0,3.0,3.0,4.0,12.0,2.0,1.0,2인 여행(가족 외),1.0
e_e000010,3;6,2023-04-29,2023-05-01,정보없음,6;3;1,3,False,False,False,0.6666666666666666,True,421160,9,8,18,5,119000,0,0,1.0,3.0,15.0,6.0,48.0,여,30.0,6.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,나홀로 여행,0.0
e_e000011,1;21,2023-04-28,2023-05-01,정보없음,6;2;24,4,False,False,False,0.5,True,764300,8,7,16,6,119000,0,0,0.0,4.0,14.0,4.0,48.0,여,60.0,7.0,2.0,1.0,2.0,7.0,7.0,2.0,1.0,3인 이상 여행(가족 외),3.0
e_e000013,1;22;24;6,2023-04-28,2023-04-30,정보없음,1;8;6,3,False,False,False,0.6666666666666666,True,414220,8,8,11,4,240000,1,1,0.0,3.0,8.0,3.6666666666666665,45.0,여,20.0,6.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,부모 동반 여행,3.0
e_e000014,2,2023-05-01,2023-05-02,정보없음,2;1;22,2,False,False,False,0.0,True,189000,3,2,3,3,119000,0,0,0.0,2.0,3.0,1.5,28.0,남,60.0,7.0,2.0,6.0,3.0,7.0,11.0,3.0,2.0,자녀 동반 여행,2.0
e_e000015,7,2023-04-28,2023-05-02,정보없음,7;6;4,5,False,False,False,0.4,True,453600,17,16,23,7,119000,0,0,1.0,5.0,24.0,4.6,45.0,남,20.0,4.0,1.0,3.0,12.0,2.0,6.0,3.0,2.0,2인 여행(가족 외),1.0
e_e000016,1;22;4,2023-04-29,2023-04-30,정보없음,1;4;22,2,False,False,False,1.0,True,135300,4,4,4,3,119000,0,0,0.0,2.0,4.0,2.0,11.0,남,30.0,6.0,1.0,1.0,3.0,4.0,7.0,2.0,1.0,나홀로 여행,0.0
e_e000018,2;11,2023-04-29,2023-04-30,정보없음,2;5;11,2,False,False,False,1.0,True,58500,3,2,2,2,119000,0,0,0.0,2.0,4.0,1.0,41.0,여,40.0,6.0,2.0,5.0,11.0,1.0,5.0,3.0,6.0,자녀 동반 여행,2.0
