TRAVEL_ID,SUCCESS_SCORE,TRIP_DAYS,MOVE_CNT,activity_payment_sum,activity_history_rows,ACTIVITY_TYPE_CD,payment_persona,activity_balance_index,GENDER,AGE_GRP,HOUSE_INCOME,TRAVEL_MOTIVE_1,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,RESIDENCE_SGG_CD,move_cnt_per_day,activity_payment_sum_per_day,activity_history_rows_per_day,travel_intensity_index
a_a014262,27.666666666666664,2,5,183249,5,1.0,high,1.5219280905592771,1,40,9,3,자녀 동반 여행,1.0,11.0,2.5,91624.5,2.5,-1.1329482853500639
a_a006728,36.888888888888886,2,5,68600,10,2.0,med,1.9709505886838883,1,40,10,6,자녀 동반 여행,3.0,11.0,2.5,34300.0,5.0,0.0952781509241728
a_a015745,46.44444444444444,4,19,57100,22,4.0,med,2.114713022459586,2,60,5,7,나홀로 여행,0.0,11.0,4.75,14275.0,5.5,1.8897754846199772
a_a010544,30.380952380952376,2,9,89700,10,1.0,med,1.6854752914565543,1,40,7,1,나홀로 여행,0.0,11.0,4.5,44850.0,5.0,1.4720355255383568
a_a012058,38.333333333333336,1,5,155520,8,1.0,high,2.249999992786525,2,30,6,1,2인 여행(가족 외),1.0,42.0,5.0,155520.0,8.0,3.290096592720987
a_a001826,38.0,1,4,61000,7,1.0,med,1.6644977734296813,1,20,3,1,2인 여행(가족 외),1.0,28.0,4.0,61000.0,7.0,2.1104273309042
a_a002687,45.5,3,10,62900,9,1.0,med,1.8365916623381988,2,30,12,3,자녀 동반 여행,1.0,41.0,3.3333333333333335,20966.666666666668,3.0,-0.3136540920059733
a_a001405,50.0,3,15,149500,12,1.0,med,2.688721865442002,2,30,7,3,2인 여행(가족 외),1.0,46.0,5.0,49833.333333333336,4.0,1.324934294682208
a_a008173,40.555555555555564,3,8,23500,7,1.0,low,2.2359263434155574,1,30,5,7,나홀로 여행,0.0,41.0,2.6666666666666665,7833.333333333333,2.3333333333333335,-1.100100266550498
a_a005503,42.16666666666667,3,6,94300,10,1.0,med,1.8954618384675417,2,20,6,7,2인 여행(가족 외),1.0,45.0,2.0,31433.333333333332,3.3333333333333335,-1.0677288169121977
a_a014026,44.88888888888889,2,5,146300,4,1.0,med,1.4999999956719148,2,20,7,1,나홀로 여행,0.0,11.0,2.5,73150.0,2.0,-1.3785935726049114
a_a006743,31.333333333333336,2,6,98000,7,1.0,med,1.8423709874063285,2,20,7,2,2인 여행(가족 외),1.0,30.0,3.0,49000.0,3.5,-0.29746836718682335
a_a001240,41.55555555555556,4,11,378001,13,1.0,high,1.4195562942435278,2,30,7,3,정보없음,1.0,36.0,2.75,94500.25,3.25,-0.5923856826410201
a_a018188,24.0,2,4,55800,4,1.0,med,0.99999999711461,2,20,9,3,2인 여행(가족 외),1.0,41.0,2.0,27900.0,2.0,-1.7227829162584576
a_a001129,40.95238095238095,3,9,103400,16,1.0,med,2.0550365253637906,2,30,7,2,2인 여행(가족 외),1.0,41.0,3.0,34466.666666666664,5.333333333333333,0.6032310194142836
a_a007389,32.888888888888886,2,5,60000,3,1.0,med,0.9182958311690995,2,30,7,3,정보없음,1.0,36.0,2.5,30000.0,1.5,-1.6242388598597586
a_a000024,34.333333333333336,3,4,68260,4,2.0,med,1.4999999956719148,2,30,7,3,정보없음,1.0,36.0,1.3333333333333333,22753.333333333332,1.3333333333333333,-2.5092290908029824
a_a017969,37.66666666666667,2,4,7000,5,1.0,low,1.5219280905592771,1,30,7,3,자녀 동반 여행,1.0,11.0,2.0,3500.0,2.5,-1.47713762900361
a_a012188,46.11111111111111,1,7,28200,7,1.0,low,2.2359263434155574,2,30,7,1,나홀로 여행,0.0,11.0,7.0,28200.0,7.0,4.1755633928254765
a_a006668,32.333333333333336,2,6,60400,2,1.0,med,0.99999999711461,2,30,12,1,자녀 동반 여행,2.0,11.0,3.0,30200.0,1.0,-1.52569480346106
a_a006714,42.66666666666667,2,3,26000,3,1.0,low,1.584962496393071,2,30,7,3,정보없음,1.0,36.0,1.5,13000.0,1.5,-2.312617547166851
a_a002989,45.71428571428572,3,9,87900,26,1.0,med,2.4840684438910636,2,30,5,2,부모 동반 여행,2.0,11.0,3.0,29300.0,8.666666666666666,2.2408662677799325
a_a018209,30.666666666666664,1,1,28500,2,1.0,low,0.99999999711461,2,30,8,1,자녀 동반 여행,1.0,11.0,1.0,28500.0,2.0,-2.4111616035655494
a_a006101,45.0,3,10,16000,15,1.0,low,2.3329145553232276,1,30,7,3,나홀로 여행,1.0,30.0,3.3333333333333335,5333.333333333333,5.0,0.6689270570134163
a_a008209,40.555555555555564,2,7,138000,6,2.0,med,2.2516291601743474,2,30,7,3,정보없음,1.0,36.0,3.5,69000.0,3.0,-0.1989243107881247
a_a005593,27.0,2,4,21900,1,3.0,low,-1.4426951595367387e-09,2,20,3,5,나홀로 여행,0.0,41.0,2.0,10950.0,0.5,-2.4597187780229994
a_a001157,40.952380952380956,4,13,84000,11,4.0,med,2.1180782021362337,1,30,7,7,나홀로 여행,0.0,43.0,3.25,21000.0,2.75,-0.49384162624232136
a_a000637,45.5,3,6,216600,6,1.0,high,1.7924812445897977,1,30,10,2,자녀 동반 여행,2.0,41.0,2.0,72200.0,2.0,-1.7227829162584576
a_a005806,38.666666666666664,2,7,65000,6,2.0,med,1.9182958282837093,2,30,7,7,나홀로 여행,0.0,41.0,3.5,32500.0,3.0,-0.1989243107881247
a_a000277,50.0,3,13,142900,11,1.0,med,2.413088427769587,2,20,7,1,2인 여행(가족 외),1.0,45.0,4.333333333333333,47633.333333333336,3.6666666666666665,0.7022516449742483
a_a000428,42.592592592592595,4,19,171100,17,1.0,high,2.094856776335263,1,30,12,2,자녀 동반 여행,3.0,41.0,4.75,42775.0,4.25,1.2756622664828587
a_a018074,36.0,2,3,21900,4,2.0,low,1.4999999956719148,2,40,6,3,자녀 동반 여행,1.0,41.0,1.5,10950.0,2.0,-2.0669722599120037
a_a004431,46.0,2,5,84200,3,1.0,med,1.584962496393071,2,20,4,4,2인 여행(가족 외),1.0,42.0,2.5,42100.0,1.5,-1.6242388598597586
a_a003282,38.0,2,5,289000,6,1.0,high,1.7924812445897977,2,30,7,2,3대 동반 여행(친척 포함),4.0,11.0,2.5,144500.0,3.0,-0.8873029980952167
a_a000307,35.33333333333333,2,6,390660,7,1.0,high,1.6644977734296813,1,30,6,3,부모 동반 여행,4.0,11.0,3.0,195330.0,3.5,-0.29746836718682335
a_a000980,31.833333333333336,2,6,21500,4,5.0,low,1.4999999956719148,2,30,7,7,2인 여행(가족 외),1.0,11.0,3.0,10750.0,2.0,-1.0344042289513655
a_a010475,45.15151515151515,3,13,189700,18,1.0,high,2.078175857873102,2,30,7,1,2인 여행(가족 외),1.0,29.0,4.333333333333333,63233.333333333336,6.0,1.8485963188302028
a_a008206,41.33333333333333,1,7,90300,7,4.0,med,1.8423709874063285,2,20,4,7,2인 여행(가족 외),1.0,30.0,7.0,90300.0,7.0,4.1755633928254765
a_a008349,34.0,2,7,288850,3,2.0,high,0.9182958311690995,2,20,7,2,나홀로 여행,0.0,41.0,3.5,144425.0,1.5,-0.9358601725526667
a_a005195,26.0,2,5,8000,5,1.0,low,1.5219280905592771,1,30,9,6,나홀로 여행,0.0,11.0,2.5,4000.0,2.5,-1.1329482853500639
a_a005824,32.0,3,8,166720,2,2.0,high,-1.4426951595367387e-09,1,30,5,2,2인 여행(가족 외),1.0,28.0,2.6666666666666665,55573.333333333336,0.6666666666666666,-1.9189178907333224
a_a013871,40.925925925925924,3,19,256550,19,5.0,high,2.339261057077394,2,20,7,1,2인 여행(가족 외),1.0,26.0,6.333333333333333,85516.66666666667,6.333333333333333,3.3891172182809517
a_a000286,45.5,4,8,2000,12,4.0,low,1.8553885364367535,2,30,11,1,자녀 동반 여행,2.0,11.0,2.0,500.0,3.0,-1.2314923417487627
a_a005562,37.66666666666667,1,5,56200,6,4.0,med,1.4591479126991596,1,30,7,6,나홀로 여행,0.0,11.0,5.0,56200.0,6.0,2.3075154437015977
a_a006278,39.33333333333333,2,6,121000,4,1.0,med,0.99999999711461,1,20,8,7,나홀로 여행,0.0,41.0,3.0,60500.0,2.0,-1.0344042289513655
a_a018134,42.0,1,3,12500,1,1.0,low,-1.4426951595367387e-09,2,30,7,2,3인 이상 여행(가족 외),2.0,41.0,3.0,12500.0,1.0,-1.52569480346106
