TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a014262,2,0.014607360525041892,5,1,0.24673187492883686,2.5
a_a006728,2,-0.31080107407384,5,0,-0.26929659475671947,2.5
a_a015745,4,-0.34505459350530127,19,0,-0.4526224984607987,4.75
a_a010544,2,-0.2508574150687828,9,0,-0.17423871876201175,4.5
a_a012058,2,-0.06246305819574592,5,0,0.12451460579278405,2.5
a_a001826,3,0.4913021726128776,4,0,0.47456900628123166,1.3333333333333333
a_a002687,3,-0.32792783378957063,10,0,-0.3915138638927723,3.3333333333333335
a_a001405,3,0.08025993943534263,15,0,0.040018716019710535,5.0
a_a008173,3,-0.38216257288938427,8,0,-0.44885036052450084,2.6666666666666665
a_a005503,3,0.07455101953009909,6,0,0.033983295321633814,2.0
a_a014026,2,-0.09100765772196363,5,0,0.07924895055720893,2.5
a_a006743,2,-0.22802173544780863,6,0,-0.13802619457355164,3.0
a_a001240,4,4.955677538513328,11,0,3.750293590162351,2.75
a_a018188,2,-0.347909053457923,4,0,-0.32814194656296714,2.0
a_a001129,3,0.21727401716118763,9,0,0.1848688127735509,3.0
a_a007389,2,-0.33649121364743595,5,0,-0.3100356844687371,2.5
a_a000024,3,-0.3136555340264618,4,0,-0.37642531214758057,1.3333333333333333
a_a017969,2,-0.4877775911363898,4,0,-0.5499436572172852,2.0
a_a012188,2,-0.4278339321313326,7,0,-0.4548857812225775,3.5
a_a006668,2,-0.33649121364743595,6,0,-0.3100356844687371,3.0
a_a006714,2,-0.43354285203657617,3,0,-0.4639389122696925,1.5
a_a002989,3,0.020316280430285435,9,0,-0.023353201310094693,3.0
a_a018209,2,-0.4278339321313326,1,0,-0.4548857812225775,0.5
a_a006101,3,0.040297500098637834,10,0,-0.002229228866826284,3.3333333333333335
a_a008209,2,-0.1138433373429378,7,0,0.04303642636874883,3.5
a_a005593,2,-0.4449606918470632,4,0,-0.4820451743639225,2.0
a_a001157,4,-0.5077588108047422,13,0,-0.5816296158821878,3.25
a_a000637,3,0.9508702249849827,6,0,0.9604203724764047,2.0
a_a005806,2,-0.3222189138843271,7,0,-0.2874028568509495,3.5
a_a000277,3,-0.09957103757982895,13,0,-0.15009703596970503,4.333333333333333
a_a000428,4,-0.01964615890641936,19,0,-0.19460826361802055,4.75
a_a018074,2,-0.4449606918470632,3,0,-0.4820451743639225,1.5
a_a004431,2,-0.2679841747845134,5,0,-0.2013981119033568,2.5
a_a003282,2,0.3171801155029496,5,0,0.7265478204259331,2.5
a_a000307,3,1.4646730164569017,6,0,1.503608235303306,2.0
a_a000980,2,-0.4449606918470632,6,0,-0.4820451743639225,3.0
a_a010475,3,0.42564959370257693,13,0,0.4051616682533498,4.333333333333333
a_a008206,2,-0.2508574150687828,7,0,-0.17423871876201175,3.5
a_a008349,3,0.3171801155029496,7,0,0.2904886749898928,2.3333333333333335
a_a005195,2,-0.484923131183768,5,0,-0.5454170916937278,2.5
a_a005824,3,-0.031063998716906443,8,0,-0.07767198759278483,2.6666666666666665
a_a013871,4,3.131677628788016,19,0,2.304055905385726,4.75
a_a000286,4,-0.5020498908994987,8,0,-0.5771030503586303,2.0
a_a005562,2,-0.347909053457923,5,0,-0.32814194656296714,2.5
a_a006278,2,-0.1623691565375079,6,0,-0.03391518753172887,3.0
a_a018134,2,-0.47350529137328096,3,0,-0.5273108295994977,1.5
a_a000618,3,-0.22802173544780863,10,0,-0.28589400167643036,3.3333333333333335
a_a004497,2,-0.33649121364743595,5,1,-0.3100356844687371,2.5
a_a005182,2,-0.3964348726524931,8,0,-0.40509356046344486,4.0
a_a008024,2,-0.5077588108047422,4,0,-0.5816296158821878,2.0
a_a003352,2,-0.3393456736000577,5,0,-0.3145622499922946,2.5
a_a003024,3,0.10880453896156034,8,0,0.0701958195100939,2.6666666666666665
a_a006065,2,-0.3564724333157883,8,0,-0.3417216431336397,4.0
a_a011533,2,-0.3222189138843271,5,0,-0.2874028568509495,2.5
a_a002251,2,-0.17664145630061676,11,0,-0.05654801514951643,5.5
a_a006371,2,-0.3022376942159747,6,0,-0.2557168981860469,3.0
a_a001954,4,-0.0653175181483677,13,0,-0.23082078780648063,3.25
a_a004399,4,-0.073880898006233,8,0,-0.2376106360918169,2.0
a_a003305,3,0.5598092114758001,15,0,0.5469940546581519,5.0
a_a004307,2,-0.4991954309468769,8,0,-0.5680499193115153,4.0
a_a017685,2,-0.4906320510890116,4,0,-0.5544702227408428,2.0
a_a006833,2,-0.41641609232084553,2,0,-0.43677951912834745,1.0
a_a006260,3,0.300053355787219,8,0,0.27238241289566273,2.6666666666666665
a_a004223,3,-0.2508574150687828,12,0,-0.3100356844687371,4.0
a_a003779,5,-0.41356163236822374,22,0,-0.5218789509712286,4.4
a_a001955,3,0.6796965294859145,11,0,0.6737378893177621,3.6666666666666665
a_a002761,4,0.6739876095806709,13,0,0.35536944749421717,3.25
a_a005650,2,-0.37645365298414074,3,1,-0.37340760179854227,1.5
a_a003697,2,-0.5077588108047422,2,0,-0.5816296158821878,1.0
a_a001244,4,0.01746182047766366,10,0,-0.16518558771489672,2.5
a_a002245,4,-0.21089497573207802,10,0,-0.3462482086571972,2.5
a_a007884,2,-0.31080107407384,5,0,-0.26929659475671947,2.5
a_a000877,4,-0.2023315958742127,13,0,-0.33945836037186095,3.25
a_a002159,3,0.3599970147922762,7,0,0.3357543302254679,2.3333333333333335
a_a001226,3,-0.4392517719418197,27,0,-0.5092045675052677,9.0
a_a001595,3,-0.3678902731262754,6,0,-0.43376180877930914,2.0
a_a002056,3,-0.3964348726524931,10,0,-0.4639389122696925,3.3333333333333335
a_a005324,2,-0.4021437925577367,6,0,-0.4141466915105599,3.0
a_a006674,2,-0.25656633497402637,6,0,-0.18329184980912677,3.0
a_a002737,2,-0.28225647454762226,5,0,-0.22403093952114436,2.5
a_a002979,3,-0.3050921541685965,7,0,-0.36737218110046554,2.3333333333333335
a_a003599,4,0.2715087562610013,11,0,0.03624657808341257,2.75
a_a006656,2,0.2401096967821618,13,0,0.6043305512898803,6.5
a_a018000,2,0.3057622756924625,11,0,0.7084415583317031,5.5
a_a006976,2,-0.29652877431073116,4,1,-0.24666376713893193,2.0
a_a004818,2,-0.36503581317365363,4,0,-0.3553013397043122,2.0
a_a010193,2,-0.37359919303151895,9,0,-0.36888103627498475,4.5
a_a000822,3,-0.1538057766796426,4,0,-0.20743353260143346,1.3333333333333333
a_a011614,3,-0.14238793686915552,5,0,-0.19536269120528016,1.6666666666666667
a_a002410,3,-0.02250061885904113,7,0,-0.06861885654566982,2.3333333333333335
a_a009817,2,-0.33363675369481416,5,0,-0.30550911894517957,2.5
a_a006410,2,-0.2993832342633529,6,0,-0.2511903326624894,3.0
a_a013672,3,2.586475777837258,6,0,2.689568402475374,2.0
a_a010301,2,-0.3165099939790835,3,0,-0.2783497258038345,1.5
a_a007878,2,-0.21945835558994334,5,0,-0.1244464980028791,2.5
a_a000714,4,-0.011082779048554047,5,0,-0.18781841533268429,1.25
a_a013867,2,-0.2993832342633529,6,0,-0.2511903326624894,3.0
a_a001264,5,1.5788514145617725,17,0,0.7419381432060286,3.4
a_a004178,3,-0.3165099939790835,9,0,-0.379443022496619,3.0
a_a003426,4,-0.1538057766796426,7,0,-0.30098255342162206,1.75
a_a006562,2,-0.3593268932684101,3,0,-0.3462482086571972,1.5
a_a003901,2,-0.410707172415602,9,0,-0.4277263880812324,4.5
a_a000780,3,0.19158387758759168,5,0,0.15770941963220586,1.6666666666666667
a_a007436,2,-0.19662267596896915,9,0,-0.08823397381441901,4.5
a_a000342,4,-0.37645365298414074,6,0,-0.477518608840365,1.5
