TRAVEL_ID,AGE_GRP,GENDER,MOVE_CNT,MVMN_NM,INCOME,HOUSE_INCOME,LODGING_PAYMENT_SUM,TRIP_DAYS,DGSTFN_AVG,RCMDTN_AVG,REVISIT_AVG,TRAVEL_START_YEAR,TRAVEL_START_MONTH,TRAVEL_START_YMD,TRAVEL_END_YMD,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_HISTORY_ROWS,ACTIVITY_PAYMENT_SUM,ACTIVITY_TYPE_UNIQUE,MISSION_CODE_COUNT,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,IS_FAILED_TRIP,TRAIN_PURPOSE,TRAVEL_MISSION_CHECK,MISSION_PURPOSE_GAP_RATIO
e_e000004,40,남,3,UNKNOWN,7,8.0,0,1,4.0,3.67,3.33,2023,4,2023-04-30,2023-05-01,0,0,1,2,0,3,0,2,3,2,자녀 동반 여행,1,3,11;3;4,0.6667
e_e000006,30,남,8,UNKNOWN,5,7.0,0,2,4.75,4.75,4.75,2023,4,2023-04-30,2023-05-02,3,1,0,1,2,11,58500,6,3,1,2인 가족 여행,0,21,10;21;27,0.6667
e_e000009,30,여,10,UNKNOWN,4,12.0,0,2,4.5,4.5,4.5,2023,4,2023-04-29,2023-05-01,6,2,0,3,3,15,319340,5,3,1,2인 여행(가족 외),0,2;4,1;22;7,1.0
e_e000010,30,여,12,UNKNOWN,4,4.0,0,2,4.25,3.92,4.25,2023,4,2023-04-29,2023-05-01,8,2,3,2,0,18,421160,5,3,0,나홀로 여행,1,3;6,1;3;6,0.3333
e_e000011,60,여,10,UNKNOWN,7,7.0,0,3,3.9,3.8,3.7,2023,4,2023-04-28,2023-05-01,5,2,3,2,2,16,764300,6,3,3,3인 이상 여행(가족 외),0,1;21,2;24;6,1.0
e_e000013,20,여,6,UNKNOWN,4,4.0,240000,2,4.67,4.33,4.33,2023,4,2023-04-28,2023-04-30,4,4,0,2,1,11,414220,4,3,3,부모 동반 여행,0,1;22;24;6,1;6;8,0.3333
e_e000014,60,남,1,UNKNOWN,7,11.0,0,1,5.0,5.0,5.0,2023,5,2023-05-01,2023-05-02,1,1,1,0,0,3,189000,3,3,2,자녀 동반 여행,0,2,1;2;22,0.6667
e_e000015,20,남,18,UNKNOWN,2,6.0,0,4,3.89,3.5,3.33,2023,4,2023-04-28,2023-05-02,11,2,2,3,1,23,453600,7,3,1,2인 여행(가족 외),1,7,4;6;7,0.6667
e_e000016,30,남,2,UNKNOWN,4,7.0,0,1,4.0,4.0,4.0,2023,4,2023-04-29,2023-04-30,1,2,0,1,0,4,135300,3,3,0,나홀로 여행,0,1;22;4,1;22;4,0.0
e_e000018,40,여,2,UNKNOWN,1,5.0,0,1,5.0,5.0,5.0,2023,4,2023-04-29,2023-04-30,1,0,1,0,0,2,58500,2,3,2,자녀 동반 여행,0,11;2,11;2;5,0.3333
e_e000020,40,여,11,UNKNOWN,7,7.0,84375,2,4.36,4.18,3.82,2023,4,2023-04-29,2023-05-01,5,3,1,4,6,22,166650,6,3,0,나홀로 여행,0,21;28,2;21;5,0.6667
e_e000021,20,남,14,UNKNOWN,8,11.0,70000,2,4.07,4.0,4.0,2023,4,2023-04-29,2023-05-01,5,0,1,2,2,14,120100,6,3,1,2인 여행(가족 외),0,24,21;24;6,0.6667
e_e000022,40,남,3,UNKNOWN,7,8.0,0,1,4.33,4.33,4.33,2023,4,2023-04-29,2023-04-30,1,0,1,1,1,4,200000,4,3,1,2인 가족 여행,0,22;25,2;24;3,1.0
e_e000023,60,남,5,UNKNOWN,4,10.0,0,1,4.2,3.8,3.8,2023,4,2023-04-29,2023-04-30,2,0,3,2,1,9,49300,5,3,2,3대 동반 여행(친척 포함),0,4,11;3;4,0.6667
e_e000025,40,여,3,UNKNOWN,4,9.0,0,1,4.0,3.67,3.0,2023,4,2023-04-30,2023-05-01,3,0,0,1,1,5,65600,3,3,2,자녀 동반 여행,1,22,22;26;4,0.6667
e_e000030,50,남,2,UNKNOWN,11,11.0,0,1,5.0,5.0,5.0,2023,4,2023-04-29,2023-04-30,0,0,0,0,0,2,0,1,3,0,나홀로 여행,0,21,21;28;7,0.6667
e_e000037,30,여,2,UNKNOWN,4,7.0,0,1,5.0,5.0,5.0,2023,4,2023-04-30,2023-05-01,2,0,1,1,1,5,52000,4,3,0,나홀로 여행,0,22,21;22;6,0.6667
e_e000038,30,남,7,UNKNOWN,6,8.0,66000,2,4.86,4.71,4.71,2023,4,2023-04-28,2023-04-30,5,1,1,0,4,11,184600,4,3,1,2인 가족 여행,0,21;22;23,10;21;23,0.3333
e_e000039,40,남,7,UNKNOWN,2,5.0,0,1,4.57,4.57,4.43,2023,4,2023-04-29,2023-04-30,2,0,6,2,0,10,116500,3,3,1,2인 가족 여행,0,2,2;22;24,0.6667
e_e000040,30,남,5,UNKNOWN,5,7.0,0,2,4.2,3.4,3.2,2023,4,2023-04-28,2023-04-30,3,0,0,2,0,5,64400,2,3,1,2인 여행(가족 외),1,3;4,3;4;7,0.3333
e_e000041,60,남,11,UNKNOWN,11,12.0,0,3,4.82,4.82,4.82,2023,4,2023-04-28,2023-05-01,10,1,1,1,0,14,163500,5,3,1,부모 동반 여행,0,4;7,24;3;4,0.6667
e_e000042,20,여,6,UNKNOWN,4,10.0,0,1,4.17,4.0,4.0,2023,5,2023-05-01,2023-05-02,1,0,0,2,1,7,72000,5,3,1,2인 여행(가족 외),0,12;24;5,12;24;5,0.0
e_e000045,60,여,5,UNKNOWN,2,6.0,0,2,4.0,3.8,3.8,2023,4,2023-04-29,2023-05-01,4,1,2,3,3,13,40070,5,3,1,2인 가족 여행,1,25,21;25;8,0.6667
e_e000046,60,남,1,UNKNOWN,4,6.0,0,1,5.0,5.0,5.0,2023,4,2023-04-28,2023-04-29,2,0,1,1,1,7,180300,6,3,3,3인 이상 여행(가족 외),0,5,10;21;5,0.6667
e_e000293,30,여,9,대중교통 등,3,7.0,0,1,4.11,3.67,4.89,2023,5,2023-05-28,2023-05-29,1,4,2,0,0,12,151600,4,3,0,나홀로 여행,0,1;22;4;6,1;4;6,0.0
e_e000294,20,여,5,자가용,3,3.0,133200,3,3.4,3.6,3.8,2023,5,2023-05-19,2023-05-22,8,3,4,2,4,21,386300,5,3,1,2인 여행(가족 외),1,1;2;23;26,2;22;23,0.3333
e_e000296,30,여,11,대중교통 등,5,7.0,0,3,4.0,3.45,3.55,2023,5,2023-05-23,2023-05-26,7,0,1,1,2,11,106600,4,3,0,나홀로 여행,0,1;11;21;22;23;26;9,21;22;9,0.0
