TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK
e_e000004,e000004,3,2023-04-30,2023-05-01,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,3;4;11
e_e000006,e000006,21,2023-04-30,2023-05-02,정보없음,경기 방문/거주지 구분 없음/39세 이하/특별미션,21;10;27
e_e000009,e000009,2;4,2023-04-29,2023-05-01,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,22;1;7
e_e000010,e000010,3;6,2023-04-29,2023-05-01,정보없음,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;3;1
e_e000011,e000011,1;21,2023-04-28,2023-05-01,정보없음,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,6;2;24
e_e000013,e000013,1;22;24;6,2023-04-28,2023-04-30,정보없음,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션,1;8;6
e_e000014,e000014,2,2023-05-01,2023-05-02,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;1;22
e_e000015,e000015,7,2023-04-28,2023-05-02,정보없음,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,7;6;4
e_e000016,e000016,1;22;4,2023-04-29,2023-04-30,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;4;22
e_e000018,e000018,2;11,2023-04-29,2023-04-30,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;5;11
e_e000020,e000020,28;21,2023-04-29,2023-05-01,정보없음,경기 방문/거주지 구분 없음/40세 이상/특별미션,21;2;5
e_e000021,e000021,24,2023-04-29,2023-05-01,정보없음,경기 방문/거주지 구분 없음/40세 이상/특별미션,24;6;21
e_e000022,e000022,22;25,2023-04-29,2023-04-30,정보없음,경기 방문/거주지 구분 없음/40세 이상/특별미션,2;3;24
e_e000023,e000023,4,2023-04-29,2023-04-30,정보없음,서울 방문/수도권 거주/40세 이상/커플/일반미션,4;3;11
e_e000025,e000025,22,2023-04-30,2023-05-01,정보없음,경기 방문/거주지 구분 없음/40세 이상/특별미션,22;4;26
e_e000030,e000030,21,2023-04-29,2023-04-30,정보없음,경기 방문/거주지 구분 없음/40세 이상/특별미션,21;7;28
e_e000037,e000037,22,2023-04-30,2023-05-01,정보없음,경기 방문/거주지 구분 없음/39세 이하/특별미션,22;6;21
e_e000038,e000038,21;22;23,2023-04-28,2023-04-30,정보없음,경기 방문/거주지 구분 없음/39세 이하/특별미션,21;23;10
e_e000039,e000039,2,2023-04-29,2023-04-30,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2;22;24
e_e000040,e000040,3;4,2023-04-28,2023-04-30,정보없음,서울 방문/수도권 거주/39세 이하/커플/일반미션,4;3;7
e_e000041,e000041,4;7,2023-04-28,2023-05-01,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,3;4;24
e_e000042,e000042,12;24;5,2023-05-01,2023-05-02,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;12;24
e_e000045,e000045,25,2023-04-29,2023-05-01,정보없음,경기 방문/거주지 구분 없음/39세 이하/특별미션,8;25;21
e_e000046,e000046,5,2023-04-28,2023-04-29,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;10;21
e_e000293,e000293,1;22;4;6,2023-05-28,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;1;4
e_e000294,e000294,1;2;23;26,2023-05-19,2023-05-22,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,2;23;22
e_e000296,e000296,9;11;21;26;1;22;23,2023-05-23,2023-05-26,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,9;22;21
e_e000299,e000299,3;6,2023-05-27,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션,3;6;11
e_e000301,e000301,22;23;26;4,2023-05-19,2023-05-21,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,22;23;26
e_e000302,e000302,2;21;22;26,2023-05-19,2023-05-22,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2;22;26
e_e000307,e000307,3,2023-05-21,2023-05-22,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,3;22;6
e_e000311,e000311,2;22;26;5,2023-05-27,2023-05-28,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;22;26
e_e000317,e000317,1;12;4;5;7,2023-05-27,2023-05-30,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,4;24;1
e_e000319,e000319,1;12;24;5;6,2023-05-31,2023-06-03,대중교통 등,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,4;1;24
e_e000322,e000322,1;24;3;5;6,2023-06-05,2023-06-08,대중교통 등,경기 방문/거주지 구분 없음/40세 이상/특별미션,24;22;1
e_e000323,e000323,22;26;1;2;4,2023-05-27,2023-05-29,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,3;22;26
e_e000329,e000329,1;12;7;9,2023-05-26,2023-05-29,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,7;1;12
e_e000331,e000331,1;2,2023-05-28,2023-05-31,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2;22;1
e_e000332,e000332,1;2;5;7;9,2023-05-19,2023-05-21,자가용,서울 방문/수도권 거주/39세 이하/커플/일반미션,26;24;7
e_e000334,e000334,1;22;26;6;9,2023-05-28,2023-05-30,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,22;12;1
e_e000336,e000336,3;11;23;26,2023-05-27,2023-05-30,자가용,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션,1;2;23
e_e000338,e000338,21;22;24;26;6,2023-05-19,2023-05-20,대중교통 등,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,6;22;26
e_e000342,e000342,1;21;22;24;4,2023-05-19,2023-05-22,대중교통 등,인천 방문/거주지 구분 없음/39세 이하/특별미션,4;21;22
e_e000344,e000344,1;12;2;3;6,2023-05-19,2023-05-21,자가용,서울 방문/수도권 외 거주/39세 이하/자녀동반/일반미션,2;3;4
e_e000345,e000345,22;6;9,2023-05-19,2023-05-21,대중교통 등,서울 방문/거주지 구분 없음/39세 이하/특별미션,6;22;9
e_e000346,e000346,21;22;24,2023-05-27,2023-05-28,자가용,인천 방문/거주지 구분 없음/40세 이상/특별미션,22;21;5
e_e000347,e000347,2;4;8,2023-05-26,2023-05-30,대중교통 등,서울 외 수도권 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션,1;4;6
e_e000350,e000350,1;2;22,2023-05-18,2023-05-19,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;1;22
e_e000352,e000352,22;23;6;7,2023-05-21,2023-05-23,대중교통 등,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,23;22;21
e_e000353,e000353,1;22;6,2023-05-23,2023-05-24,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,1;2;3
e_e000355,e000355,1;11;2;6,2023-05-21,2023-05-22,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,5;11;27
e_e000357,e000357,1,2023-05-15,2023-05-16,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;6;7
e_e000360,e000360,21;22;24;26;9,2023-05-29,2023-05-30,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션,2;21;22
e_e000362,e000362,1;2;22;5;8,2023-05-15,2023-05-17,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,8;5;22
e_e000364,e000364,1;3;6,2023-05-16,2023-05-19,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,3;1;6
e_e000366,e000366,2;5;6;8;9,2023-05-20,2023-05-22,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,1;2;8
e_e000369,e000369,1;3;6,2023-06-05,2023-06-07,자가용,서울 방문/수도권 거주/39세 이하/부부/일반미션,3;6;23
e_e000371,e000371,1;11;4;7;9,2023-05-26,2023-05-29,자가용,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,6;24;21
e_e000373,e000373,21;24;26;4,2023-05-20,2023-05-21,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/3대 동반 여행/일반미션,26;6;1
