TRAVEL_ID,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,activity_payment_sum,lodging_payment_sum,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_DURATION_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,MISSION_CODE_COUNT,MISSION_CD_22,MISSION_CD_1,MISSION_CD_6,MISSION_CD_2,MISSION_CD_21,activity_history_rows,activity_type_unique,ACTIVITY_CD_1,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_CD_2,ACTIVITY_CD_3
e_e000004,2023-04-30,2023-05-01,,3;4;11,0,0,4.0,3.333333333333333,3.6666666666666665,2,3,0.0,남,40,7,8.0,2,자녀 동반 여행,1,2023,4,3,0,0,0,0,0,3,2,0,2,0,0,1
e_e000006,2023-04-30,2023-05-02,,21;10;27,58500,0,4.75,4.75,4.75,3,8,0.625,남,30,5,7.0,1,2인 가족 여행,2,2023,4,3,0,0,0,0,1,11,6,3,1,2,1,0
e_e000009,2023-04-29,2023-05-01,,22;1;7,319340,0,4.5,4.5,4.5,3,10,0.2,여,30,4,12.0,1,2인 여행(가족 외),2,2023,4,3,1,1,0,0,0,15,5,6,3,3,2,0
e_e000010,2023-04-29,2023-05-01,,6;3;1,421160,0,4.25,4.25,3.9166666666666665,3,12,0.8333333333333334,여,30,4,4.0,0,나홀로 여행,2,2023,4,3,0,1,1,0,0,18,5,8,2,0,2,3
e_e000011,2023-04-28,2023-05-01,,6;2;24,764300,0,3.9,3.7,3.8,4,10,0.2,여,60,7,7.0,3,3인 이상 여행(가족 외),3,2023,4,3,0,0,1,1,0,16,6,5,2,2,2,3
e_e000013,2023-04-28,2023-04-30,,1;8;6,414220,240000,4.666666666666667,4.333333333333333,4.333333333333333,3,6,0.3333333333333333,여,20,4,4.0,3,부모 동반 여행,2,2023,4,3,0,1,1,0,0,11,4,4,2,1,4,0
e_e000014,2023-05-01,2023-05-02,,2;1;22,189000,0,5.0,5.0,5.0,2,1,1.0,남,60,7,11.0,2,자녀 동반 여행,1,2023,5,3,1,1,0,1,0,3,3,1,0,0,1,1
e_e000015,2023-04-28,2023-05-02,,7;6;4,453600,0,3.888888888888889,3.333333333333333,3.5,5,18,0.2777777777777778,남,20,2,6.0,1,2인 여행(가족 외),4,2023,4,3,0,0,1,0,0,23,7,11,3,1,2,2
e_e000016,2023-04-29,2023-04-30,,1;4;22,135300,0,4.0,4.0,4.0,2,2,1.0,남,30,4,7.0,0,나홀로 여행,1,2023,4,3,1,1,0,0,0,4,3,1,1,0,2,0
e_e000018,2023-04-29,2023-04-30,,2;5;11,58500,0,5.0,5.0,5.0,2,2,0.0,여,40,1,5.0,2,자녀 동반 여행,1,2023,4,3,0,0,0,1,0,2,2,1,0,0,0,1
e_e000020,2023-04-29,2023-05-01,,21;2;5,166650,84375,4.363636363636363,3.8181818181818175,4.181818181818182,3,11,0.0909090909090909,여,40,7,7.0,0,나홀로 여행,2,2023,4,3,0,0,0,1,1,22,6,5,4,6,3,1
