TRAVEL_ID,TRAVELER_ID,TRAVEL_NM,TRAVEL_PURPOSE,TRAVEL_PERSONA,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_STATUS_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,activity_payment_sum,activity_payment_count,activity_store_count,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_DURATION_DAYS,TRAVEL_STATUS_LAG_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,MISSION_CODE_COUNT,MISSION_CD_22,MISSION_CD_1,MISSION_CD_6,MISSION_CD_2,MISSION_CD_21,activity_history_rows,activity_type_unique,ACTIVITY_CD_1,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_CD_2,ACTIVITY_CD_3
e_e000004,e000004,E03,3,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-04-30,2023-05-01,,,3;4;11,0,0,0,0,0,0,4.0,3.333333333333333,3.6666666666666665,2,3,0.0,남,40,7,8.0,2,1,2,자녀 동반 여행,1,,2023,4,3,0,0,0,0,0,3,2,0,2,0,0,1
e_e000006,e000006,E03,21,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-04-30,2023-05-02,,,21;10;27,58500,4,3,0,0,0,4.75,4.75,4.75,3,8,0.625,남,30,5,7.0,3,4,1,2인 가족 여행,2,,2023,4,3,0,0,0,0,1,11,6,3,1,2,1,0
e_e000009,e000009,E03,2;4,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-04-29,2023-05-01,,,22;1;7,319340,9,9,0,0,0,4.5,4.5,4.5,3,10,0.2,여,30,4,12.0,2,1,1,2인 여행(가족 외),2,,2023,4,3,1,1,0,0,0,15,5,6,3,3,2,0
e_e000010,e000010,E01,3;6,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2023-04-29,2023-05-01,,,6;3;1,421160,9,8,0,0,0,4.25,4.25,3.9166666666666665,3,12,0.8333333333333334,여,30,4,4.0,2,2,0,나홀로 여행,2,,2023,4,3,0,1,1,0,0,18,5,8,2,0,2,3
e_e000011,e000011,E01,1;21,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,2023-04-28,2023-05-01,,,6;2;24,764300,8,7,0,0,0,3.9,3.7,3.8,4,10,0.2,여,60,7,7.0,2,1,3,3인 이상 여행(가족 외),3,,2023,4,3,0,0,1,1,0,16,6,5,2,2,2,3
e_e000013,e000013,E03,1;22;24;6,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션,2023-04-28,2023-04-30,,,1;8;6,414220,8,8,240000,1,1,4.666666666666667,4.333333333333333,4.333333333333333,3,6,0.3333333333333333,여,20,4,4.0,3,4,3,부모 동반 여행,2,,2023,4,3,0,1,1,0,0,11,4,4,2,1,4,0
e_e000014,e000014,E03,2,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-05-01,2023-05-02,,,2;1;22,189000,3,2,0,0,0,5.0,5.0,5.0,2,1,1.0,남,60,7,11.0,3,2,2,자녀 동반 여행,1,,2023,5,3,1,1,0,1,0,3,3,1,0,0,1,1
e_e000015,e000015,E01,7,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,2023-04-28,2023-05-02,,,7;6;4,453600,17,16,0,0,0,3.888888888888889,3.333333333333333,3.5,5,18,0.2777777777777778,남,20,2,6.0,3,2,1,2인 여행(가족 외),4,,2023,4,3,0,0,1,0,0,23,7,11,3,1,2,2
e_e000016,e000016,E03,1;22;4,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-04-29,2023-04-30,,,1;4;22,135300,4,4,0,0,0,4.0,4.0,4.0,2,2,1.0,남,30,4,7.0,2,1,0,나홀로 여행,1,,2023,4,3,1,1,0,0,0,4,3,1,1,0,2,0
e_e000018,e000018,E03,2;11,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-04-29,2023-04-30,,,2;5;11,58500,3,2,0,0,0,5.0,5.0,5.0,2,2,0.0,여,40,1,5.0,3,6,2,자녀 동반 여행,1,,2023,4,3,0,0,0,1,0,2,2,1,0,0,0,1
e_e000020,e000020,E03,28;21,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-04-29,2023-05-01,,,21;2;5,166650,8,7,84375,1,1,4.363636363636363,3.8181818181818175,4.181818181818182,3,11,0.0909090909090909,여,40,7,7.0,3,10,0,나홀로 여행,2,,2023,4,3,0,0,0,1,1,22,6,5,4,6,3,1
e_e000021,e000021,E03,24,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-04-29,2023-05-01,,,24;6;21,120100,6,5,70000,1,1,4.071428571428571,4.0,4.0,3,14,0.4285714285714285,남,20,8,11.0,3,3,1,2인 여행(가족 외),2,,2023,4,3,0,0,1,0,1,14,6,5,2,2,0,1
e_e000022,e000022,E03,22;25,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-04-29,2023-04-30,,,2;3;24,200000,3,2,0,0,0,4.333333333333333,4.333333333333333,4.333333333333333,2,3,0.0,남,40,7,8.0,2,1,1,2인 가족 여행,1,,2023,4,3,0,0,0,1,0,4,4,1,1,1,0,1
e_e000023,e000023,E01,4,서울 방문/수도권 거주/40세 이상/커플/일반미션,2023-04-29,2023-04-30,,,4;3;11,49300,4,4,0,0,0,4.2,3.8,3.8,2,5,0.2,남,60,4,10.0,3,20,2,3대 동반 여행(친척 포함),1,,2023,4,3,0,0,0,0,0,9,5,2,2,1,0,3
e_e000025,e000025,E03,22,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-04-30,2023-05-01,,,22;4;26,65600,3,3,0,0,0,4.0,3.0,3.6666666666666665,2,3,0.0,여,40,4,9.0,2,1,2,자녀 동반 여행,1,,2023,4,3,1,0,0,0,0,5,3,3,1,1,0,0
e_e000030,e000030,E03,21,경기 방문/거주지 구분 없음/40세 이상/특별미션,2023-04-29,2023-04-30,,,21;7;28,0,0,0,0,0,0,5.0,5.0,5.0,2,2,0.5,남,50,11,11.0,2,2,0,나홀로 여행,1,,2023,4,3,0,0,0,0,1,2,1,0,0,0,0,0
e_e000037,e000037,E03,22,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-04-30,2023-05-01,,,22;6;21,52000,2,2,0,0,0,5.0,5.0,5.0,2,2,0.0,여,30,4,7.0,2,1,0,나홀로 여행,1,,2023,4,3,1,0,1,0,1,5,4,2,1,1,0,1
e_e000038,e000038,E03,21;22;23,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-04-28,2023-04-30,,,21;23;10,184600,7,7,66000,1,1,4.857142857142857,4.714285714285714,4.714285714285714,3,7,0.1428571428571428,남,30,6,8.0,3,3,1,2인 가족 여행,2,,2023,4,3,0,0,0,0,1,11,4,5,0,4,1,1
e_e000039,e000039,E03,2,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2023-04-29,2023-04-30,,,2;22;24,116500,3,3,0,0,0,4.571428571428571,4.428571428571429,4.571428571428571,2,7,0.0,남,40,2,5.0,2,1,1,2인 가족 여행,1,,2023,4,3,1,0,0,1,0,10,3,2,2,0,0,6
e_e000040,e000040,E01,3;4,서울 방문/수도권 거주/39세 이하/커플/일반미션,2023-04-28,2023-04-30,,,4;3;7,64400,3,3,0,0,0,4.2,3.2,3.4,3,5,0.8,남,30,5,7.0,3,6,1,2인 여행(가족 외),2,,2023,4,3,0,0,0,0,0,5,2,3,2,0,0,0
e_e000041,e000041,E03,4;7,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,2023-04-28,2023-05-01,,,3;4;24,163500,10,10,0,0,0,4.818181818181818,4.818181818181818,4.818181818181818,4,11,0.6363636363636364,남,60,11,12.0,4,1,1,부모 동반 여행,3,,2023,4,3,0,0,0,0,0,14,5,10,1,0,1,1
e_e000042,e000042,E02,12;24;5,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-05-01,2023-05-02,,,5;12;24,72000,2,2,0,0,0,4.166666666666667,4.0,4.0,2,6,0.0,여,20,4,10.0,3,11,1,2인 여행(가족 외),1,,2023,5,3,0,0,0,0,0,7,5,1,2,1,0,0
