TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e004720,41,여,60,4,3,3,11,4,9.0,2,2,11,11500,47,47760,41,41390,5,경기도,서울,2인 가족 여행,2,6.0,0.0,1,41,11
e000914,30,여,20,6,1,1,3,4,7.0,3,2,45,45110,26,26230,11,11650,1,대전광역시,서울,나홀로 여행,1,7.0,10.0,0,30,11
e003564,41,여,30,7,2,4,2,7,12.0,2,2,42,42210,48,48840,41,41480,7,경기도,경기,자녀 동반 여행,8,3.0,7.0,3,41,41
e000396,41,여,30,6,2,2,2,2,5.0,2,1,50,50110,42,42150,44,44825,6,경기도,인천,2인 가족 여행,9,1.0,7.0,1,41,28
e001890,11,남,20,6,1,4,3,5,9.0,3,4,42,42210,26,26320,50,50110,6,서울특별시,경기,2인 여행(가족 외),3,1.0,5.0,1,11,41
e007797,41,남,30,6,1,3,3,5,8.0,3,4,26,26290,50,50110,50,50130,6,경기도,경기,나홀로 여행,1,8.0,7.0,0,41,41
e003039,41,여,30,6,2,4,5,11,12.0,2,1,41,41820,42,42830,42,42150,5,경기도,경기,나홀로 여행,2,0.0,0.0,0,41,41
e000782,41,남,50,7,2,3,2,5,9.0,2,1,42,42150,41,41450,11,11710,2,경기도,서울,3인 이상 여행(가족 외),5,3.0,1.0,2,41,11
e008478,11,여,20,5,1,1,12,1,7.0,3,4,46,46790,11,11110,50,50110,3,서울특별시,경기,2인 여행(가족 외),10,7.0,3.0,1,11,41
e000655,11,남,50,6,1,1,4,3,7.0,2,2,11,11500,28,28245,50,50110,2,서울특별시,경기,나홀로 여행,2,6.0,10.0,0,11,41
e006837,41,여,60,5,2,4,9,4,7.0,3,5,50,50130,42,42210,26,26230,7,경기도,경기,자녀 동반 여행,1,5.0,0.0,1,41,41
e008666,27,남,40,4,2,4,4,4,4.0,2,1,26,26350,11,11680,47,47770,5,대구광역시,서울,나홀로 여행,1,7.0,5.0,0,27,11
e002058,41,남,60,6,2,2,2,3,6.0,3,2,50,50110,26,26350,42,42150,7,경기도,경기,3인 이상 여행(가족 외),3,2.0,1.0,5,41,41
e010598,30,여,20,6,1,2,12,2,4.0,3,3,11,11110,42,42820,27,27110,7,대전광역시,서울,2인 여행(가족 외),2,3.0,7.0,1,30,11
e007838,30,여,30,6,1,1,3,3,7.0,3,6,11,11170,11,11440,11,11110,6,대전광역시,서울,나홀로 여행,8,1.0,5.0,0,30,11
e007403,41,여,20,8,1,1,2,5,7.0,3,2,11,11140,11,11215,11,11350,6,경기도,서울,3인 이상 여행(가족 외),1,3.0,2.0,3,41,11
e007169,41,여,40,6,2,3,11,1,8.0,2,3,42,42830,47,47930,41,41830,6,경기도,서울,자녀 동반 여행,8,7.0,3.0,1,41,11
e001267,41,남,40,6,2,2,2,7,7.0,2,1,11,11110,50,50110,46,46130,6,경기도,경기,2인 여행(가족 외),1,7.0,3.0,1,41,41
e005765,41,남,40,6,1,1,2,5,7.0,3,4,11,11110,11,11215,50,50110,2,경기도,서울,2인 여행(가족 외),2,3.0,7.0,1,41,11
e001538,41,남,40,4,2,2,2,4,6.0,3,4,31,31110,26,26500,42,42170,7,경기도,경기,3인 이상 여행(가족 외),2,3.0,1.0,5,41,41
e000608,47,여,20,6,1,3,12,3,7.0,2,3,11,11440,26,26350,47,47110,6,경상북도,서울,나홀로 여행,7,4.0,2.0,0,47,11
e003810,28,여,30,7,2,2,3,7,12.0,2,1,50,50130,42,42150,47,47130,6,인천광역시,경기,2인 가족 여행,2,3.0,5.0,1,28,41
e010900,11,남,20,6,1,4,12,1,3.0,3,5,41,41150,41,41820,26,26350,3,서울특별시,경기,2인 여행(가족 외),1,3.0,7.0,1,11,41
e002491,41,남,20,5,1,4,7,5,9.0,3,4,50,50110,41,41830,42,42150,6,경기도,경기,2인 여행(가족 외),2,3.0,1.0,1,41,41
e000556,11,남,30,6,1,3,3,6,11.0,3,5,50,50130,42,42150,26,26350,6,서울특별시,경기,부모 동반 여행,1,3.0,7.0,2,11,41
e002389,11,여,60,4,2,2,11,3,4.0,3,5,42,42170,41,41280,41,41570,3,서울특별시,경기,2인 가족 여행,6,3.0,1.0,1,11,41
e003334,11,남,30,6,1,1,3,5,7.0,3,2,42,42210,26,26350,42,42150,4,서울특별시,경기,나홀로 여행,7,1.0,0.0,0,11,41
e007807,41,여,40,6,2,4,13,7,12.0,1,1,50,50130,42,42210,26,26350,6,경기도,서울,2인 여행(가족 외),1,6.0,7.0,1,41,11
e005532,11,남,50,7,2,3,11,1,9.0,2,1,50,50110,41,41830,42,42210,7,서울특별시,경기,3인 이상 여행(가족 외),1,3.0,2.0,3,11,41
e003175,41,여,30,6,2,4,13,3,7.0,3,4,42,42210,42,42760,50,50130,6,경기도,경기,자녀 동반 여행,10,0.0,0.0,3,41,41
e001098,11,여,30,7,1,3,3,4,11.0,2,1,42,42210,41,41480,26,26500,4,서울특별시,경기,2인 여행(가족 외),1,3.0,2.0,1,11,41
e000627,41,남,40,7,2,4,3,5,8.0,3,4,41,41110,28,28185,42,42150,5,경기도,인천,나홀로 여행,2,1.0,4.0,0,41,28
e007836,43,여,40,6,2,4,3,6,10.0,2,2,42,42750,43,43150,45,45730,5,충청북도,경기,자녀 동반 여행,3,1.0,10.0,2,43,41
e012144,44,여,20,6,1,4,12,1,7.0,1,4,50,50130,11,11710,26,26350,7,충청남도,서울,2인 가족 여행,3,1.0,2.0,1,44,11
e011483,41,여,20,7,1,3,2,2,3.0,2,3,11,11230,41,41820,41,41390,7,경기도,서울,2인 여행(가족 외),1,3.0,7.0,1,41,11
e000346,11,남,60,6,2,3,2,6,6.0,2,1,26,26200,28,28710,11,11440,5,서울특별시,인천,3인 이상 여행(가족 외),7,3.0,1.0,2,11,28
e003929,41,여,40,5,2,3,11,1,4.0,2,2,42,42170,11,11230,48,48330,6,경기도,경기,나홀로 여행,5,7.0,1.0,0,41,41
e007231,41,여,60,6,2,5,2,5,7.0,3,2,42,42150,50,50130,47,47130,5,경기도,서울,2인 여행(가족 외),4,7.0,1.0,1,41,11
e006884,11,남,30,6,2,2,3,6,9.0,2,2,42,42130,42,42750,42,42770,5,서울특별시,경기,2인 가족 여행,6,3.0,2.0,1,11,41
e003449,11,여,60,2,3,1,11,2,7.0,2,1,41,41360,41,41650,42,42780,4,서울특별시,경기,2인 여행(가족 외),2,1.0,3.0,1,11,41
e001544,11,여,30,6,1,1,4,4,7.0,3,3,47,47130,45,45110,46,46130,7,서울특별시,경기,2인 가족 여행,7,2.0,0.0,1,11,41
e010174,41,여,20,6,1,3,3,4,9.0,2,1,48,48120,11,11260,41,41360,7,경기도,서울,2인 여행(가족 외),3,1.0,7.0,1,41,11
e006179,41,여,30,6,1,2,3,7,7.0,3,6,50,50110,42,42150,42,42210,7,경기도,서울,2인 여행(가족 외),2,1.0,3.0,1,41,11
e003381,41,여,30,7,1,2,13,5,6.0,2,2,41,41170,41,41820,27,27140,6,경기도,경기,2인 여행(가족 외),1,2.0,3.0,1,41,41
e009505,41,남,30,6,1,1,5,4,7.0,3,3,42,42210,48,48220,31,31710,2,경기도,경기,2인 여행(가족 외),3,1.0,7.0,1,41,41
