,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
0,2304300001,e_e000004,1,집,2023-04-30,2023-04-30,21,,,,,
1,2304300002,e_e000004,2,화성 관광열차 안내소 연무대 매표소,2023-04-30,2023-04-30,2,N,10.0,4.0,3.0,4.0
2,2304300003,e_e000004,3,창룡문,2023-04-30,2023-04-30,2,N,1.0,4.0,4.0,4.0
3,2304300004,e_e000004,4,수원 화성 화홍문,2023-04-30,2023-04-30,2,N,10.0,4.0,3.0,3.0
4,2304300005,e_e000004,5,집,2023-04-30,2023-05-01,21,,,,,
5,2304300001,e_e000006,1,집,2023-04-30,2023-04-30,21,,,,,
6,2304300002,e_e000006,2,청량리역 경춘선,2023-04-30,2023-04-30,9,Y,6.0,5.0,5.0,5.0
7,2304300003,e_e000006,3,청평역 경춘선,2023-04-30,2023-04-30,9,N,1.0,5.0,5.0,5.0
8,2304300004,e_e000006,4,경춘선 자전거길,2023-04-30,2023-04-30,1,Y,4.0,5.0,5.0,5.0
9,2304300005,e_e000006,5,베이커리 시어터,2023-04-30,2023-04-30,11,N,1.0,4.0,4.0,4.0
10,2304300006,e_e000006,6,백암천,2023-04-30,2023-04-30,12,Y,4.0,5.0,5.0,5.0
11,2304300007,e_e000006,7,자시오 잣 주꾸미,2023-04-30,2023-04-30,11,N,5.0,4.0,4.0,4.0
12,2304300008,e_e000006,8,신창현 풍림아이원 1차 아파트,2023-04-30,2023-05-01,22,,,,,
13,2305010001,e_e000006,9,마석역 경춘선,2023-05-01,2023-05-01,9,Y,6.0,5.0,5.0,5.0
14,2305010002,e_e000006,10,청량리역,2023-05-01,2023-05-01,9,Y,6.0,5.0,5.0,5.0
15,2305010003,e_e000006,11,집,2023-05-01,2023-05-02,21,,,,,
16,2304290001,e_e000009,1,친구 친지 집,2023-04-29,2023-04-29,22,,,,,
17,2304290002,e_e000009,2,농협안성팜랜드,2023-04-29,2023-04-29,6,N,1.0,4.0,4.0,4.0
18,2304290003,e_e000009,3,스타필드 안성,2023-04-29,2023-04-29,4,N,1.0,5.0,5.0,5.0
19,2304290004,e_e000009,4,대동국수 평택역점,2023-04-29,2023-04-29,11,N,2.0,5.0,5.0,5.0
20,2304290005,e_e000009,5,편지,2023-04-29,2023-04-29,11,N,2.0,5.0,5.0,5.0
21,2304290007,e_e000009,6,호텔 프라하,2023-04-29,2023-04-30,24,N,8.0,1.0,1.0,1.0
22,2304300001,e_e000009,7,평택 초등학교,2023-04-30,2023-04-30,12,Y,4.0,5.0,5.0,5.0
23,2304300002,e_e000009,8,샤오바오 고덕점,2023-04-30,2023-04-30,11,N,2.0,5.0,5.0,5.0
24,2304300003,e_e000009,9,평택시 농업 생태원,2023-04-30,2023-04-30,6,N,1.0,5.0,5.0,5.0
25,2304300004,e_e000009,10,평택시 로컬푸드 재단,2023-04-30,2023-04-30,10,N,9.0,5.0,5.0,5.0
26,2304300005,e_e000009,11,시흥 하늘휴게소 양방향,2023-04-30,2023-04-30,9,Y,7.0,5.0,5.0,5.0
27,2304300006,e_e000009,12,영남아파트,2023-04-30,2023-05-01,21,,,,,
28,2304290001,e_e000010,1,집,2023-04-29,2023-04-29,21,,,,,
29,2304290002,e_e000010,2,진주 시외버스터미널,2023-04-29,2023-04-29,9,Y,6.0,3.0,5.0,3.0
30,2304290003,e_e000010,3,서울 남부터미널,2023-04-29,2023-04-29,9,Y,6.0,4.0,5.0,3.0
31,2304290004,e_e000010,5,롯데리아 남부터미널점,2023-04-29,2023-04-29,11,Y,8.0,4.0,4.0,3.0
32,2304290005,e_e000010,6,다이소 남부터미널점,2023-04-29,2023-04-29,10,Y,9.0,4.0,3.0,3.0
33,2304290006,e_e000010,4,충무아트센터 대극장,2023-04-29,2023-04-29,3,Y,1.0,4.0,4.0,4.0
34,2304290007,e_e000010,8,스탠더드 커피,2023-04-29,2023-04-29,11,Y,4.0,5.0,5.0,5.0
35,2304290008,e_e000010,9,연신내 칼국수,2023-04-29,2023-04-29,11,Y,4.0,4.0,4.0,4.0
36,2304290009,e_e000010,7,독립문,2023-04-29,2023-04-29,2,N,1.0,4.0,3.0,4.0
37,2304290010,e_e000010,10,친구 집,2023-04-29,2023-04-30,22,,,,,
38,2304300001,e_e000010,11,롯데월드 샤롯데씨어터,2023-04-30,2023-04-30,3,Y,1.0,5.0,5.0,5.0
39,2304300002,e_e000010,12,미사리밀빛초계국수 롯데월드점,2023-04-30,2023-04-30,11,N,5.0,5.0,5.0,5.0
40,2304300003,e_e000010,13,롯데월드 샤롯데씨어터,2023-04-30,2023-04-30,3,Y,1.0,5.0,5.0,5.0
41,2304300004,e_e000010,14,서울고속버스터미널(경부),2023-04-30,2023-04-30,9,Y,6.0,4.0,3.0,3.0
42,2304300005,e_e000010,15,집,2023-04-30,2023-05-01,21,,,,,
43,2304280001,e_e000011,1,사무실,2023-04-28,2023-04-28,23,,,,,
44,2304280002,e_e000011,2,서울역 1호선,2023-04-28,2023-04-28,9,Y,6.0,4.0,5.0,5.0
